number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_i_clamp_ori,params_i_clamp_pos,params_i_gain_ori,params_i_gain_pos,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
63,2698168.640002897,2000-01-01 00:01:03.000000,2000-01-01 00:01:03.000000,0 days 00:00:00,37.45314876645904,15.572276197037969,0.0033662274913284,0.0034566775435507,16.067278989568884,1286.568801516552,1419.2543912353688,363.1405794475384,0.1947388637933017,0.0756030202907274,0.9386661944855956,COMPLETE
64,2909868.8457332286,2000-01-01 00:01:04.000000,2000-01-01 00:01:04.000000,0 days 00:00:00,28.16790032024665,12.76202503847779,0.0028107458901667,0.0163046980190594,22.417606915608207,1313.01454063389,1259.2126257871903,373.55915212336464,0.4817074900126336,0.0690128023895815,1.0649178263600796,COMPLETE
65,8397186.424708102,2000-01-01 00:01:05.000000,2000-01-01 00:01:05.000000,0 days 00:00:00,34.58803967110254,15.146357143731388,0.0063606403968154,0.0070821808999637,55.09344696750035,1356.4691012193368,1262.1887689484706,301.45488259570044,0.294174777816635,0.092825051695185,1.0395981213897056,COMPLETE
66,9508373.65865524,2000-01-01 00:01:06.000000,2000-01-01 00:01:06.000000,0 days 00:00:00,44.18959440849879,36.93898294617474,0.0048027108631878,0.0098391625087993,64.68972383098503,1778.7175207969126,1072.2893155756797,359.0322950940444,0.1084228901395876,0.0656001203983121,1.048034023318242,COMPLETE
67,7484497.546370634,2000-01-01 00:01:07.000000,2000-01-01 00:01:07.000000,0 days 00:00:00,33.378173494438,31.288096835226952,0.0050248405596503,0.0066576768310819,48.58842876495581,1329.1414971299448,1338.7130758299904,405.537813961911,0.3599387928645828,0.0675897122627011,1.059599639348748,COMPLETE
68,9911937.294235157,2000-01-01 00:01:08.000000,2000-01-01 00:01:08.000000,0 days 00:00:00,45.75034199039059,39.81372495649889,0.0078059857958389,0.0144798381392253,105.715877199126,1721.8375878820027,1118.2538009780228,498.3466086377224,0.210127804761455,0.0058695817421482,1.097619723316288,COMPLETE
69,3196099.551723663,2000-01-01 00:01:09.000000,2000-01-01 00:01:09.000000,0 days 00:00:00,39.87657938081261,26.46942235275457,0.0069081194510527,0.0202850402799352,20.418221860893368,1359.524609201164,1360.8806762893073,387.97089539586347,0.3483007426056249,0.0960688322490855,1.1248961456484476,COMPLETE
70,1793248.7931312774,2000-01-01 00:01:10.000000,2000-01-01 00:01:10.000000,0 days 00:00:00,28.485241515132834,23.783186948561543,0.0041078627107701,0.0079891660183299,40.41672635515309,949.076189217816,1208.8813866634243,442.6351985967842,0.3323681010490859,0.0965717827951682,1.0492244395083217,COMPLETE
71,1345963.948458137,2000-01-01 00:01:11.000000,2000-01-01 00:01:11.000000,0 days 00:00:00,30.14397322295575,11.85282899029823,0.0060469380545983,0.0038681588685449,24.667289452739368,778.0593139841747,1374.9805650072371,422.0005221717351,0.3699919060008936,0.0498466838576453,0.9370277964221864,COMPLETE
72,7192384.523781715,2000-01-01 00:01:12.000000,2000-01-01 00:01:12.000000,0 days 00:00:00,29.96331991333708,24.30191974921923,0.0065180045335326,0.002475587443323,48.49743641658946,628.9462587118155,1418.792001400809,319.42372792595035,0.366763169828815,0.0922882499423881,0.9928492323752898,COMPLETE
73,2642485.5252833096,2000-01-01 00:01:13.000000,2000-01-01 00:01:13.000000,0 days 00:00:00,30.19144259021804,11.061617859694564,0.0042882423727667,0.0119707751299296,27.682085397646645,431.70062729532447,1389.864786004777,400.744808266454,0.4125978346770681,0.0341330753476782,0.9188705271036988,COMPLETE
74,2802192.647264689,2000-01-01 00:01:14.000000,2000-01-01 00:01:14.000000,0 days 00:00:00,28.188094902643243,19.93818165902622,0.0037003923710269,0.0154786630742197,29.884484485350622,1119.544790110319,1024.1130528845024,441.55989983652216,0.2749527202572948,0.0990109711221553,1.1948299967073432,COMPLETE
75,1645070.9633874996,2000-01-01 00:01:15.000000,2000-01-01 00:01:15.000000,0 days 00:00:00,26.457193542807804,17.9335535375817,0.0025473383175712,0.0086867343210917,74.96585441173022,602.7420659428309,1068.9220109526098,457.5957525393795,0.3032234409111286,0.0819278048817787,0.9563327698911416,COMPLETE
76,1452674.0374597155,2000-01-01 00:01:16.000000,2000-01-01 00:01:16.000000,0 days 00:00:00,18.620113004913208,37.95164440958085,0.0023148247463561,0.0059787417695482,81.22480789072414,612.20576603982,1381.9429939432634,497.5793002438171,0.2916459947199296,0.0995154164733999,0.9018631838000551,COMPLETE
77,2198614.4731201865,2000-01-01 00:01:17.000000,2000-01-01 00:01:17.000000,0 days 00:00:00,20.918517403164884,42.09105257410913,0.0029658358927413,0.0170586471092626,102.78515932790428,308.15753342968145,1074.6252881525577,466.7517844236498,0.2987762469464922,0.0895975991488764,0.7965086122997458,COMPLETE
78,1577723.7364757543,2000-01-01 00:01:18.000000,2000-01-01 00:01:18.000000,0 days 00:00:00,19.769091908296065,58.62864719938048,0.0006365504347535,0.0056369788612388,84.79150587311241,944.1796147509308,1851.794724437831,435.1604393715599,0.3016848826342647,0.084041596201883,0.9677611816395948,COMPLETE
79,2654092.5510609294,2000-01-01 00:01:19.000000,2000-01-01 00:01:19.000000,0 days 00:00:00,20.73480055123234,65.08365054618821,0.0011311183700014,0.0068562623640888,86.54624373659989,940.4018150472712,2218.5338505975938,369.2607272837868,0.3829550039157814,0.0852074864709623,0.5504671937040548,COMPLETE
80,1770571.1689283384,2000-01-01 00:01:20.000000,2000-01-01 00:01:20.000000,0 days 00:00:00,18.383249865646757,70.34965814196741,0.002961806449471,0.0031432691568076,96.85263618588314,1055.6481912925512,1698.7523769784991,479.1672548183373,0.251252816396461,0.086899050711174,1.1080476146493137,COMPLETE
81,2805679.4392026584,2000-01-01 00:01:21.000000,2000-01-01 00:01:21.000000,0 days 00:00:00,18.10803573365828,57.442903087277465,0.0022568917139164,0.0092032422491926,84.27887732081875,1041.1979096265918,1990.781222294056,408.2786453901838,0.2313798198353944,0.0885770015406514,0.9840927957993988,COMPLETE
82,2264366.4050171366,2000-01-01 00:01:22.000000,2000-01-01 00:01:22.000000,0 days 00:00:00,36.64890286739551,85.09400021278442,0.001221951885537,0.0054965596095325,81.30779036533076,1062.543511733997,1853.670930982909,449.8191465776095,0.3131673611394035,0.0786956120337998,0.9533830986255766,COMPLETE
83,1431647.0612850343,2000-01-01 00:01:23.000000,2000-01-01 00:01:23.000000,0 days 00:00:00,6.809602187850281,30.694886696214255,0.0042703614599607,0.0042580738295791,82.88642489987843,820.7995138941535,1429.2194868575325,495.7770774010177,0.4049948150682919,0.0817279917269905,0.7830161680204099,COMPLETE
84,2111973.360465277,2000-01-01 00:01:24.000000,2000-01-01 00:01:24.000000,0 days 00:00:00,11.786944841076153,44.6984316921063,0.0056759175986478,0.0163679720067448,68.07629639715358,528.0624573757198,1405.4306745387314,475.6956426518032,0.4526213895247126,0.0892005044906131,0.7552732732593216,COMPLETE
85,3607998.5248791967,2000-01-01 00:01:25.000000,2000-01-01 00:01:25.000000,0 days 00:00:00,6.739881748894913,28.26680255039814,0.0019486102602043,0.0159982294728181,96.74528344068034,1053.0591201137402,1522.1669822399117,434.396400194365,0.3529827808509845,0.0931096193419602,0.68514674060433,COMPLETE
86,1590730.1727587038,2000-01-01 00:01:26.000000,2000-01-01 00:01:26.000000,0 days 00:00:00,24.54835177802749,35.778729372052815,0.0025402699665678,0.0095730262280615,67.27559450590451,484.2751366033177,1153.8061152338896,455.2147888475589,0.3610383282005504,0.0647295964918821,0.9356753749911948,COMPLETE
