number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
64,1000000000.0,2026-05-04 19:44:26.962150,2026-05-04 19:45:14.425894,0 days 00:00:47.463744,5.190934943260536,96.46233794438267,1261.721237348252,220.24725138123492,0.31776969671362965,0.0450761205860569,0.8373597648155005,COMPLETE
65,324.93224387999055,2026-05-04 19:45:14.426840,2026-05-04 19:45:42.596890,0 days 00:00:28.170050,9.902434099827278,92.7335563340081,1006.8029987783281,286.4334724404955,0.22272175556217466,0.06827183506098479,0.8666640174855749,COMPLETE
66,395.6843434854468,2026-05-04 19:45:42.597496,2026-05-04 19:46:13.883173,0 days 00:00:31.285677,23.77110393368078,90.48865953333927,1084.4231786739438,314.2083479976479,0.2521041918691455,0.07007510674810016,0.7525161897880918,COMPLETE
67,1000000000.0,2026-05-04 19:46:13.884356,2026-05-04 19:46:45.037969,0 days 00:00:31.153613,12.976676028995303,95.67954014921135,1304.713307813837,291.30663202939047,0.18777598518641683,0.06942344206317116,0.9077640633143949,COMPLETE
68,380.1381809273669,2026-05-04 19:46:45.039514,2026-05-04 19:47:13.343040,0 days 00:00:28.303526,6.0132376677436605,72.42778191762753,2400.682497204287,122.8155973927296,0.3165392259658819,0.04168423984909142,0.837058415776255,COMPLETE
69,399.30046980245805,2026-05-04 19:47:13.344073,2026-05-04 19:47:41.857067,0 days 00:00:28.512994,10.241248948192643,67.16904708207558,1118.9452049804688,108.61523355853187,0.13854620083754454,0.06107089998378537,1.0353086657192911,COMPLETE
70,1000000000.0,2026-05-04 19:47:41.858590,2026-05-04 19:48:13.059262,0 days 00:00:31.200672,26.127169510179588,50.62445541377727,1748.164726125617,484.37803108090577,0.10768489531313627,0.04552602766319301,0.7807572740841674,COMPLETE
71,274.6827788323265,2026-05-04 19:48:13.060906,2026-05-04 19:48:44.292861,0 days 00:00:31.231955,8.020815539727181,75.7255920249179,1024.947692428646,107.25774078345752,0.18619859471731598,0.04444404029914921,1.1443075417949233,COMPLETE
72,344.29677417847665,2026-05-04 19:48:44.293821,2026-05-04 19:49:12.920991,0 days 00:00:28.627170,9.342055971823221,96.53776423813694,1071.0921081150643,108.25632368429586,0.18435548189040002,0.014784093732754647,1.1443708386829554,COMPLETE
73,322.92011626410596,2026-05-04 19:49:12.921951,2026-05-04 19:49:44.155045,0 days 00:00:31.233094,12.345976725914968,89.80330464922575,1003.4536272424892,293.63144925695565,0.28268108127646363,0.07778120046009573,0.855134898065149,COMPLETE
