trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
46,1547765.7456133594,1183013.5647806285,0.0,0.0,False,False,,0.10638297872340426,4.616423535785851,2.920775087325896,0.2464262986361692,1.6228822277770453e-14,0.0071236766020212035,0.006737526404121645,0.005474593535679764,8.471159176693033e-06,2.298105478286743,1.3233811855316162,5.660789573510293e-05,0.3272986846614117,0.0,0.0,9.02583909355223e-16,2.252037750732167e-15,0.6291935396729879,13.163045167922974
47,1458424.6326499854,1183013.5647806285,0.0,0.0,False,False,,0.10416666666666667,4.652437873018569,3.027738580295462,0.2804433931440989,2.2012547399390186e-14,0.0077923189841597965,0.007205548330408414,0.004581605288167548,7.775843940006462e-06,2.315410614013672,1.3992013931274414,5.1105926440373784e-05,0.6494448081310393,0.0,0.0,1.3953831716673425e-15,2.712370506512861e-15,0.656279323822425,13.259088516235352
48,1484822.770124204,1183013.5647806285,0.0,0.0,False,False,,0.10204081632653061,4.60159102617281,2.242362705331694,0.25550826626477807,2.600386525138554e-14,0.006713646282635586,0.006355416571356417,0.004845499201006534,1.7051754860163625e-11,2.29126238822937,1.0000438690185547,1.4488515565372093e-09,0.7178821158253735,0.0,0.0,1.6351552770240033e-15,3.230655758798378e-15,0.7664677910868,13.157627820968628
49,1599806.471943204,1183013.5647806285,0.0,0.0,False,False,,0.1,4.5525211601033035,2.0617817306594244,0.16824054129469912,9.999336454311437e-15,0.005580008201463505,0.004530883781586151,0.00599482223830182,2.2579361910992065e-11,2.2694642543792725,0.8810203075408936,7.32509257198179e-10,0.33672014069782946,0.0,0.0,5.300569757225631e-16,1.439720162132733e-15,0.8207469494591878,14.082257747650146
50,1397524.07988379,1183013.5647806285,0.0,0.0,False,False,,0.09803921568627451,4.57369304073318,2.292747574760958,0.1919544993666885,2.6562691129590915e-14,0.005649188002290942,0.005326351763355008,0.003972989162820184,4.890364465540328e-06,2.2788569927215576,1.046971321105957,3.1094881606949645e-05,0.3421553287408818,0.0,0.0,1.6014964323898791e-15,3.4376799176179705e-15,0.8714064126150541,13.253337860107422
51,1505940.2206675995,1183013.5647806285,0.0,0.0,False,False,,0.09615384615384616,4.571643952900242,1.6175458213969576,0.1690656082723911,3.195525675388995e-14,0.00501091970363649,0.0046452298343418,0.005056639483666497,1.3705677337733646e-06,2.2788541316986084,0.6823351383209229,8.714114357381613e-06,0.34268341518722384,0.0,0.0,2.127165866217005e-15,3.734482456038478e-15,0.9073950248133212,13.14422607421875
52,1380221.525134386,1183013.5647806285,0.0,0.0,False,False,,0.09433962264150944,4.61679411019227,2.131322252879948,0.23092671660351766,1.6428079911280144e-14,0.006803723034142512,0.006380558296511775,0.0038000066236204416,3.7521072143935774e-06,2.298826217651367,0.9705970287322998,2.5572846865290047e-05,0.3531255472357433,0.0,0.0,9.432869642848616e-16,2.220446049250313e-15,0.6227017419425424,13.35960578918457
53,1572086.779141963,1183013.5647806285,0.0,0.0,False,False,,0.09259259259259259,4.570650735753793,2.644950932830071,0.1935627748518015,1.0215003291330264e-14,0.005921305587494062,0.005272759085899501,0.0057177390783154786,2.8585570808536167e-08,2.277416229248047,1.1795310974121094,3.5681801567303283e-07,0.3692238773007862,0.0,0.0,5.404367701572536e-16,1.472877282518059e-15,1.1737996826830457,13.444687366485596
54,1410217.686365918,1183013.5647806285,0.0,0.0,False,False,,0.09090909090909091,4.568405758722662,1.6116640809816563,0.14454720785027042,1.8217222157790033e-14,0.004139569854956282,0.003867351804852064,0.004099924727545404,4.133126055294909e-06,2.2784018516540527,0.7032663822174072,2.70160339143105e-05,0.3769202487752606,0.0,0.0,1.3350972945134892e-15,1.88411095042053e-15,0.7394827091255591,13.855877161026001
55,1268480.5973547597,1183013.5647806285,0.0,0.0,False,False,,0.08928571428571429,4.650587299689681,0.8163089450082536,0.2253781039768113,1.372067080157123e-14,0.006651223801962543,0.006233764762689892,0.0026831685244222553,7.604641409018722e-08,2.3159430027008057,0.34107375144958496,6.031775941854405e-07,0.36273241716178756,0.0,0.0,7.995704904919562e-16,1.831026719408895e-15,0.7700991870646664,13.26640796661377
